Sample_num,Clarks,Coopers,FinalClass,CHECK WITH CLARK,COMPLETED,fname,ModelClass,ModelConf,FinalClass_filled
278,"Permanent Crops (e.g., vineyard)","Permanent Crops (e.g., vineyard)",Permanent Crops (e.g. vineyard),,,og_shp_imagesCopy/278.png,Permanent Crops (e.g. vineyard),0.9998095631599426,Permanent Crops (e.g. vineyard)
279,"Permanent Crops (e.g., vineyard)","Permanent Crops (e.g., vineyard)",Permanent Crops (e.g. vineyard),,,og_shp_imagesCopy/279.png,Permanent Crops (e.g. vineyard),0.9982655644416809,Permanent Crops (e.g. vineyard)
280,Natural Grassland,Shrubs,Shrubs,,,og_shp_imagesCopy/280.png,Shrubs,0.9962608218193054,Shrubs
281,Natural Grassland,Natural Wooded Land,Natural Wooded Land,yes,,og_shp_imagesCopy/281.png,Natural Wooded Land,0.916601836681366,Natural Wooded Land
283,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/283.png,Annual Crops (e.g wheat),0.9909629225730896,Annual Crops (e.g wheat)
349,Mixed or Not Classified,"Consolidated Barren (rocks, salt pans)",Consolidated Barren (rocks salt pans),,,og_shp_imagesCopy/349.png,Consolidated Barren (rocks salt pans),0.9942498207092285,Consolidated Barren (rocks salt pans)
351,Mixed or Not Classified,"Consolidated Barren (rocks, salt pans)",Consolidated Barren (rocks salt pans),,,og_shp_imagesCopy/351.png,Consolidated Barren (rocks salt pans),0.9916395545005798,Consolidated Barren (rocks salt pans)
371,Shrubs,Shrubs,Consolidated Barren (rocks salt pans),yes,,og_shp_imagesCopy/371.png,Consolidated Barren (rocks salt pans),0.6956493258476257,Consolidated Barren (rocks salt pans)
440,"Consolidated Barren (rocks, salt pans)","Consolidated Barren (rocks, salt pans)",Consolidated Barren (rocks salt pans),,,og_shp_imagesCopy/440.png,Consolidated Barren (rocks salt pans),0.9940593242645264,Consolidated Barren (rocks salt pans)
573,Mixed or Not Classified,Mixed or Not Classified,Mixed or Not Classified,,,og_shp_imagesCopy/573.png,Mixed or Not Classified,0.9859391450881958,Mixed or Not Classified
590,Mixed or Not Classified,Waterbodies,Mixed or Not Classified,,,og_shp_imagesCopy/590.png,Mixed or Not Classified,0.9986224174499512,Mixed or Not Classified
691,Mixed or Not Classified,Unconsolidated Barren,Unconsolidated Barren,yes,,og_shp_imagesCopy/691.png,Unconsolidated Barren,0.9649017453193665,Unconsolidated Barren
738,"Consolidated Barren (rocks, salt pans)","Consolidated Barren (rocks, salt pans)",Consolidated Barren (rocks salt pans),,,og_shp_imagesCopy/738.png,Natural Wooded Land,0.6781439185142517,Consolidated Barren (rocks salt pans)
765,"Consolidated Barren (rocks, salt pans)","Consolidated Barren (rocks, salt pans)",Consolidated Barren (rocks salt pans),,,og_shp_imagesCopy/765.png,Consolidated Barren (rocks salt pans),0.9135463237762451,Consolidated Barren (rocks salt pans)
798,"Consolidated Barren (rocks, salt pans)","Consolidated Barren (rocks, salt pans)",Consolidated Barren (rocks salt pans),,,og_shp_imagesCopy/798.png,Consolidated Barren (rocks salt pans),0.9987930059432983,Consolidated Barren (rocks salt pans)
819,Mixed or Not Classified,Mixed or Not Classified,Mixed or Not Classified,,,og_shp_imagesCopy/819.png,Mixed or Not Classified,0.9995095729827881,Mixed or Not Classified
1029,Mixed or Not Classified,Mixed or Not Classified,Mixed or Not Classified,,,og_shp_imagesCopy/1029.png,Mixed or Not Classified,0.9951089024543762,Mixed or Not Classified
1065,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1065.png,Annual Crops (e.g wheat),0.8132879137992859,Annual Crops (e.g wheat)
1092,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1092.png,Annual Crops (e.g wheat),0.9873626232147217,Annual Crops (e.g wheat)
1134,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1134.png,Annual Crops (e.g wheat),0.9999736547470093,Annual Crops (e.g wheat)
1147,Mixed or Not Classified,Mixed or Not Classified,Mixed or Not Classified,,,og_shp_imagesCopy/1147.png,Mixed or Not Classified,0.9983218312263489,Mixed or Not Classified
1148,Mixed or Not Classified,Mixed or Not Classified,Mixed or Not Classified,,,og_shp_imagesCopy/1148.png,Shrubs,0.966586709022522,Mixed or Not Classified
1162,Natural Wooded Land,Natural Wooded Land,Natural Wooded Land,,,og_shp_imagesCopy/1162.png,Natural Wooded Land,0.9964595437049866,Natural Wooded Land
1169,Mixed or Not Classified,Mixed or Not Classified,Mixed or Not Classified,,,og_shp_imagesCopy/1169.png,Mixed or Not Classified,0.9962548017501831,Mixed or Not Classified
1180,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1180.png,Annual Crops (e.g wheat),0.8379024863243103,Annual Crops (e.g wheat)
1181,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1181.png,Annual Crops (e.g wheat),0.9996179342269897,Annual Crops (e.g wheat)
1224,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1224.png,Annual Crops (e.g wheat),0.9980341792106628,Annual Crops (e.g wheat)
1248,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1248.png,Annual Crops (e.g wheat),0.9957430958747864,Annual Crops (e.g wheat)
1249,Natural Grassland,Natural Grassland,Natural Grassland,yes,,og_shp_imagesCopy/1249.png,Natural Grassland,0.9891216158866882,Natural Grassland
1250,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),yes,,og_shp_imagesCopy/1250.png,Annual Crops (e.g wheat),0.995991051197052,Annual Crops (e.g wheat)
1253,Mixed or Not Classified,Mixed or Not Classified,Mixed or Not Classified,,,og_shp_imagesCopy/1253.png,Mixed or Not Classified,0.9999454021453857,Mixed or Not Classified
1254,Natural Wooded Land,Natural Wooded Land,Natural Wooded Land,,,og_shp_imagesCopy/1254.png,Natural Wooded Land,0.9865720272064209,Natural Wooded Land
1255,Natural Grassland,Natural Grassland,Natural Grassland,yes,,og_shp_imagesCopy/1255.png,Natural Grassland,0.983171284198761,Natural Grassland
1258,Mixed or Not Classified,Mixed or Not Classified,Mixed or Not Classified,,,og_shp_imagesCopy/1258.png,Mixed or Not Classified,0.9999809265136719,Mixed or Not Classified
1259,Mixed or Not Classified,Natural Wooded Land,Natural Wooded Land,,,og_shp_imagesCopy/1259.png,Natural Wooded Land,0.886025071144104,Natural Wooded Land
1278,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1278.png,Annual Crops (e.g wheat),0.5486505031585693,Annual Crops (e.g wheat)
1291,Natural Wooded Land,Natural Wooded Land,Natural Wooded Land,,,og_shp_imagesCopy/1291.png,Natural Wooded Land,0.4876954257488251,Natural Wooded Land
1294,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1294.png,Annual Crops (e.g wheat),0.9768934845924377,Annual Crops (e.g wheat)
1302,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1302.png,Mixed or Not Classified,0.6797352433204651,Annual Crops (e.g wheat)
1309,Built-up,Built-up,Built-up,,,og_shp_imagesCopy/1309.png,Built-up,0.9973047971725464,Built-up
1310,Built-up,Built-up,Built-up,,,og_shp_imagesCopy/1310.png,Built-up,0.9446607232093811,Built-up
1311,Built-up,Built-up,Built-up,,,og_shp_imagesCopy/1311.png,Built-up,0.9982099533081055,Built-up
1312,Built-up,Built-up,Built-up,,,og_shp_imagesCopy/1312.png,Built-up,0.998643696308136,Built-up
1314,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1314.png,Annual Crops (e.g wheat),0.9981972575187683,Annual Crops (e.g wheat)
1357,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1357.png,Annual Crops (e.g wheat),0.9958688020706177,Annual Crops (e.g wheat)
1411,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1411.png,Annual Crops (e.g wheat),0.9886336326599121,Annual Crops (e.g wheat)
1429,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1429.png,Annual Crops (e.g wheat),0.9997171759605408,Annual Crops (e.g wheat)
1470,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1470.png,Annual Crops (e.g wheat),0.998719334602356,Annual Crops (e.g wheat)
1483,Natural Wooded Land,Natural Wooded Land,Natural Wooded Land,yes,,og_shp_imagesCopy/1483.png,Planted Forest,0.46800753474235535,Natural Wooded Land
1487,Built-up,Built-up,Built-up,,,og_shp_imagesCopy/1487.png,Built-up,0.9990511536598206,Built-up
1488,Mixed or Not Classified,Built-up,Built-up,,,og_shp_imagesCopy/1488.png,Built-up,0.9653840065002441,Built-up
1507,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1507.png,Annual Crops (e.g wheat),0.9999301433563232,Annual Crops (e.g wheat)
1538,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1538.png,Annual Crops (e.g wheat),0.9991018772125244,Annual Crops (e.g wheat)
1585,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1585.png,Annual Crops (e.g wheat),0.9999390840530396,Annual Crops (e.g wheat)
1588,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1588.png,Annual Crops (e.g wheat),0.9989088773727417,Annual Crops (e.g wheat)
1596,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1596.png,Annual Crops (e.g wheat),0.9206567406654358,Annual Crops (e.g wheat)
1604,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1604.png,Annual Crops (e.g wheat),0.9997838139533997,Annual Crops (e.g wheat)
1619,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1619.png,Annual Crops (e.g wheat),0.9995471835136414,Annual Crops (e.g wheat)
1629,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1629.png,Annual Crops (e.g wheat),0.9841289520263672,Annual Crops (e.g wheat)
1645,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1645.png,Annual Crops (e.g wheat),0.9691758155822754,Annual Crops (e.g wheat)
1733,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1733.png,Annual Crops (e.g wheat),0.9998773336410522,Annual Crops (e.g wheat)
1745,Built-up,Built-up,Built-up,,,og_shp_imagesCopy/1745.png,Built-up,0.9972857236862183,Built-up
1746,Mixed or Not Classified,Built-up,Built-up,,,og_shp_imagesCopy/1746.png,Built-up,0.9972821474075317,Built-up
1801,Mixed or Not Classified,"Consolidated Barren (rocks, salt pans)",Consolidated Barren (rocks salt pans),yes,,og_shp_imagesCopy/1801.png,Consolidated Barren (rocks salt pans),0.9961034059524536,Consolidated Barren (rocks salt pans)
1834,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1834.png,Annual Crops (e.g wheat),0.9956305027008057,Annual Crops (e.g wheat)
1840,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1840.png,Annual Crops (e.g wheat),0.9982252717018127,Annual Crops (e.g wheat)
1842,Mixed or Not Classified,Mixed or Not Classified,Mixed or Not Classified,,,og_shp_imagesCopy/1842.png,Mixed or Not Classified,0.999716579914093,Mixed or Not Classified
1843,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1843.png,Annual Crops (e.g wheat),0.9974011182785034,Annual Crops (e.g wheat)
1851,Natural Wooded Land,Natural Wooded Land,Natural Wooded Land,,,og_shp_imagesCopy/1851.png,Natural Wooded Land,0.7569542527198792,Natural Wooded Land
1852,Unconsolidated Barren,Unconsolidated Barren,Unconsolidated Barren,yes,,og_shp_imagesCopy/1852.png,Unconsolidated Barren,0.9999758005142212,Unconsolidated Barren
1853,Unconsolidated Barren,Unconsolidated Barren,Unconsolidated Barren,,,og_shp_imagesCopy/1853.png,Unconsolidated Barren,0.9997057318687439,Unconsolidated Barren
1903,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/1903.png,Annual Crops (e.g wheat),0.999637246131897,Annual Crops (e.g wheat)
1937,"Consolidated Barren (rocks, salt pans)",Unconsolidated Barren,Unconsolidated Barren,,,og_shp_imagesCopy/1937.png,Unconsolidated Barren,0.6113389134407043,Unconsolidated Barren
1953,"Consolidated Barren (rocks, salt pans)",Unconsolidated Barren,Unconsolidated Barren,,,og_shp_imagesCopy/1953.png,Unconsolidated Barren,0.9999339580535889,Unconsolidated Barren
1960,Mixed or Not Classified,"Consolidated Barren (rocks, salt pans)",Consolidated Barren (rocks salt pans),yes,,og_shp_imagesCopy/1960.png,Consolidated Barren (rocks salt pans),0.987859308719635,Consolidated Barren (rocks salt pans)
2013,Natural Wooded Land,Natural Wooded Land,Natural Wooded Land,,,og_shp_imagesCopy/2013.png,Natural Wooded Land,0.9819738864898682,Natural Wooded Land
2029,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/2029.png,Annual Crops (e.g wheat),0.9981703758239746,Annual Crops (e.g wheat)
2030,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/2030.png,Annual Crops (e.g wheat),0.8450307846069336,Annual Crops (e.g wheat)
2034,Annual Crops (e.g wheat),Annual Crops (e.g wheat),Annual Crops (e.g wheat),,,og_shp_imagesCopy/2034.png,Annual Crops (e.g wheat),0.9998987913131714,Annual Crops (e.g wheat)
2048,Mixed or Not Classified,"Consolidated Barren (rocks, salt pans)",Consolidated Barren (rocks salt pans),yes,,og_shp_imagesCopy/2048.png,Consolidated Barren (rocks salt pans),0.9994053840637207,Consolidated Barren (rocks salt pans)
2051,Mixed or Not Classified,Mixed or Not Classified,Mixed or Not Classified,,,og_shp_imagesCopy/2051.png,Mixed or Not Classified,0.9998039603233337,Mixed or Not Classified
2064,Natural Grassland,Natural Grassland,Natural Grassland,,,og_shp_imagesCopy/2064.png,Annual Crops (e.g wheat),0.9432936906814575,Natural Grassland
2067,"Consolidated Barren (rocks, salt pans)","Consolidated Barren (rocks, salt pans)",Consolidated Barren (rocks salt pans),,,og_shp_imagesCopy/2067.png,Consolidated Barren (rocks salt pans),0.9247711300849915,Consolidated Barren (rocks salt pans)
2068,"Consolidated Barren (rocks, salt pans)","Consolidated Barren (rocks, salt pans)",Consolidated Barren (rocks salt pans),yes,,og_shp_imagesCopy/2068.png,Consolidated Barren (rocks salt pans),0.984793484210968,Consolidated Barren (rocks salt pans)
